Date,Forecast,Lower CI,Upper CI
2025-02-28,-17109.68977750301,-862826.3355167591,828606.955961753
2025-03-31,-455706.57250389416,-2108940.2703754716,1197527.1253676834
2025-04-30,-853646.8978965183,-3033354.8312389203,1326061.0354458834
2025-05-31,-1262703.4877422126,-3864447.4585382394,1339040.4830538142
2025-06-30,-1648224.8558344063,-4612515.108908681,1316065.397239869
2025-07-31,-2032749.3362450006,-5319839.496153734,1254340.8236637327
2025-08-31,-2419530.452013049,-6000439.098469488,1161378.1944433912
2025-09-30,-2798065.7490015347,-6650448.355800107,1054316.8577970373
2025-10-31,-3182232.1703327857,-7288178.682899876,923714.3422343042
2025-11-30,-3590120.199022523,-7934857.449876654,754617.0518316077
2025-12-31,-3974527.398688511,-8545598.038468342,596543.2410913203
2026-01-31,-4392427.156448207,-9179141.249514017,394286.9366176035
